CAO Schedule:,Template:,As Ordered:,Template:,Key
Monday,,Dave Sinclair Lincoln SOCO,Shortcut Pack,DIRECT
Porsche STL - New & Used,Shortcut,Dave Sinclair Manchester,Flyout,Phase 1
South County DCJR - New & Used,Shortcut Pack,Dave Sinclair Lincoln St. Peters,Shortcut Pack,Non-Local
Frank Leta Honda,Flyout,Suntrup Hyundai,Shortcut Pack,
,,Suntrup Kia,Shortcut Pack,
Tuesday,,Pundmann Ford,Shortcut Pack,
Spirit Lexus,Flyout,Bommarito Cadillac,Shortcut Pack,
Suntrup Ford Kirkwood,Flyout,Mini STL,Flyout,
Suntrup Ford Westport,Flyout,BMW of West STL,Flyout,
Weber Chevy,Custom,Kia Of Columbia - Used,Shortcut Pack,
HW KIA - Used,Flyout,BMW of Columbia - New & Used,Shortcut Pack,
Volvo Cars West County - New ,Shortcut,Joe Machens Nissan - Used,Shortcut Pack,
Bommarito West County - Used,Flyout,Joe Machens Toyota - New & Used,Shortcut Pack,
Glendale CDJR - Used,Shortcut Pack,Joe Machens CDJR - New & Used,"Shortcut Pack USED, Shortcut NEW",
Honda of Frontenac - Used,Shortcut Pack,Columbia Honda - Used,Flyout,
Volvo Cars West County -  UCM,,Rusty Drewing Chevrolet - New & Used,Shortcut Pack,
,,Rusty Drewing Cadillac - New,Shortcut Pack,
Wednesday,,,,
Pappas Toyota - New & Loaner,Shortcut Pack,,,
Porsche STL - New & Used,Shortcut,,,
Serra New & Used,Shortcut Pack,,,
Auffenberg Used,Shortcut Pack,,,
Frank Leta Honda,Flyout,,,
Suntrup Buick GMC,"Shortcut, Flyout",,,
,,,,
Thursday,,,,
Spirit Lexus,Flyout,,,
Suntrup Ford Kirkwood,Flyout,,,
Suntrup Ford Westport,Flyout,,,
Weber Chevy,Custom,,,
HW KIA - Used,Flyout,,,
Volvo Cars West County - UCM,,,,
Volvo Cars West County - New ,Shortcut,,,
Bommarito West County - Used,Flyout,,,
Glendale CDJR - Used,Shortcut Pack,,,
Honda of Frotnenac - New & Used,Shortcut Pack,,,
South County DCJR - New & Used,Shortcut Pack,,,
Thoroughbred - Used,Shortcut Pack,,,
,,,,
Friday,,,,